year,month,date,ryaay,avg_rating,avg_sentiment,guests,load_factor,lockdown,war,quarter,dln_ryaay,d_avg_rating,d_avg_sentiment,d_guests,d_load_factor,sd_guests,rating_sent_only_logpred,rating_sent_only_levelpred,time_dummies_logpred,time_dummies_levelpred,guests_qinteraction_logpred,guests_qinteraction_levelpred,sd_guests_model_logpred,sd_guests_model_levelpred,guests_loadf_qinteraction_logpred,guests_loadf_qinteraction_levelpred,sd_guests_loadf_qinteraction_logpred,sd_guests_loadf_qinteraction_levelpred
2018,1,2018-01-31 14:30:00,49.103641510009766,0.30153846153846153,0.4091984615384615,9.3,0.91,0,0,1,,,,,,,,,,,,,,,,,,
2018,2,2018-02-28 14:30:00,48.52341079711914,0.256,0.289421,8.6,0.95,0,0,1,-0.01188681889308274,-0.04553846153846153,-0.11977746153846153,-0.7000000000000011,0.039999999999999925,,-0.0426272449979982,49.103641510009766,-0.05239336584881228,49.103641510009766,-0.04781327367732621,49.103641510009766,,,-0.05616843010500104,49.103641510009766,,
2018,3,2018-03-29 13:30:00,49.159664154052734,0.3095890410958904,0.38933287671232875,10.0,0.95,0,0,1,0.013027074652530946,0.05358904109589041,0.09991187671232876,1.4000000000000004,0.0,,-0.014286079141282465,48.40713005614662,-0.030911952930108788,47.60897263904407,-0.01121620567688597,48.55596215115882,,,-0.010083427121947139,48.61099646876052,,
2018,4,2018-04-30 13:30:00,44.0056037902832,0.3114754098360656,0.40848278688524586,12.3,0.96,0,0,2,-0.11075646830425612,0.0018863687401751705,0.019149910172917117,2.3000000000000007,0.010000000000000009,,-0.00681233858183167,48.07848498814549,-0.05686851552340391,44.97706660076644,-0.06731216608455276,45.39512976808156,,,-0.07508228899114851,45.094824377545315,,
2018,5,2018-05-31 13:30:00,46.38255310058594,0.3071428571428571,0.36021071428571433,12.5,0.96,0,0,2,0.05260639308032111,-0.00433255269320848,-0.048272072599531535,0.1999999999999993,0.0,,-0.017774555696034793,47.23146131391873,-0.06644272956284011,42.08578348453857,-0.053203527314021115,43.04307240362022,,,-0.045321606531251696,43.096676147115105,,
2018,6,2018-06-29 13:30:00,45.71028518676758,0.2505050505050505,0.3235040404040404,12.6,0.96,0,0,2,-0.01460004638956125,-0.0566378066378066,-0.036706673881673924,0.09999999999999964,0.0,,0.013264097177286216,47.86211730151933,-0.012986609807470007,41.54276544939022,-0.018151857447896616,42.2688091069376,,,-0.006302991625696017,42.82589242848729,,
2018,7,2018-07-31 13:30:00,42.17687225341797,0.2563636363636364,0.2680131818181818,13.1,0.97,0,0,3,-0.08045131142931794,0.005858585858585896,-0.055490858585858616,0.5,0.010000000000000009,,-0.015813795305283443,47.11118873995966,-0.04887502678003571,39.561181115663565,-0.039447862707493585,40.63385466940336,,,-0.04010584858109229,41.14231008193325,,
2018,8,2018-08-31 13:30:00,40.764305114746094,0.27872340425531916,0.3573127659574468,13.8,0.97,0,0,3,-0.03406519609495806,0.022359767891682758,0.08929958413926503,0.7000000000000011,0.0,,-0.04817604520532865,44.895361428582426,-0.08070525939962217,36.493826278239325,-0.07218808918489772,37.80394600364525,,,-0.07268134109829935,38.25811494800911,,
2018,9,2018-09-28 13:30:00,38.431373596191406,0.27419354838709675,0.25917016129032255,13.1,0.97,0,0,3,-0.05893267709729111,-0.00452985586822241,-0.09814260466712427,-0.7000000000000011,0.0,,-0.04818481370119637,42.783378175466034,-0.0820527047420771,33.618966890004955,-0.07745967811588217,34.98620394182477,,,-0.08760133966684844,35.04925484936552,,
2018,10,2018-10-31 13:30:00,33.13325119018555,0.26666666666666666,0.32123799999999997,13.1,0.96,0,0,4,-0.14833680092617918,-0.00752688172043009,0.062067838709677414,0.0,-0.010000000000000009,,-0.04923782734198829,40.7278380180607,-0.022008684240973686,32.88714047156439,-0.042529257078893976,33.529463294113,,,-0.05308138949276075,33.237307473851395,,
2018,11,2018-11-30 14:30:00,32.9451789855957,0.2391304347826087,0.3147228260869565,10.4,0.96,0,0,4,-0.005692408610171729,-0.02753623188405796,-0.006515173913043459,-2.6999999999999993,0.0,,0.018395323644505576,41.48397313269066,0.05789419606613559,34.84730874634204,0.07995875805988796,36.32053601233459,,,0.08708437286399888,36.2615277258819,,
2018,12,2018-12-28 14:30:00,28.567426681518555,0.26666666666666666,0.29134652777777775,10.3,0.95,0,0,4,-0.14257779567602924,0.02753623188405796,-0.023376298309178756,-0.09999999999999964,-0.010000000000000009,,0.03476373551876776,42.951471069608665,0.07046247633293279,37.39131232405857,0.05238126556823346,38.273761276368646,,,0.05105972235866737,38.16111477509848,,
2019,1,2019-01-31 14:30:00,28.411365509033203,0.2861538461538462,0.2646592307692308,10.3,0.91,0,0,1,-0.005477882444744342,0.01948717948717954,-0.02668729700854694,0.0,-0.039999999999999925,1.0,0.021251862556639002,43.87403824254512,0.0001524863334352311,37.39701442291222,0.0026588638326595047,38.37566140521741,0.02871901159438405,28.567426681518555,0.0088777419627134,38.501407585972544,0.014005146742387595,28.567426681518555
2019,2,2019-02-28 14:30:00,29.827930450439453,0.30400000000000005,0.334488,9.6,0.96,0,0,1,0.04865595890085617,0.017846153846153845,0.0698287692307692,-0.7000000000000011,0.04999999999999993,1.0,-0.03502679710120027,42.36387371587141,-0.060446187259274656,35.20347100046591,-0.05420569949597555,36.35085560177275,-0.0454646865645315,27.297700147780223,-0.06019356710645357,36.25224223671087,-0.06981363736823513,26.641056523263927
