year,week,date,ryaay,avg_rating,avg_sentiment,lockdown,war,quarter,dln_ryaay,d_avg_rating,d_avg_sentiment,weekly_rating_sent_only_logpred,weekly_rating_sent_only_levelpred,weekly_time_dummies_logpred,weekly_time_dummies_levelpred
2018.0,1.0,2018-01-05 14:30:00,43.473388671875,0.29090909090909095,0.4469409090909091,0,0,1.0,,,,,,,
2018.0,2.0,2018-01-12 14:30:00,46.19447708129883,0.3384615384615385,0.3827615384615385,0,0,1.0,0.060711251020085566,0.04755244755244753,-0.06417937062937062,0.004130287703481923,43.473388671875,-0.0014593121891411619,43.473388671875
2018.0,3.0,2018-01-19 14:30:00,48.33933639526367,0.3625,0.297759375,0,0,1.0,0.04538540007449576,0.02403846153846151,-0.0850021634615385,0.005615450693203756,43.71819805663972,-0.0007702330395173923,43.43991692375807
2018.0,4.0,2018-01-26 14:30:00,48.899559020996094,0.23636363636363636,0.42878181818181815,0,0,1.0,0.011522731143182696,-0.12613636363636363,0.13102244318181816,-0.0071931584805381595,43.404854445732774,-0.011091673841262074,42.96075778437277
2018.0,5.0,2018-02-02 14:30:00,48.18327331542969,0.24444444444444446,0.5683555555555555,0,0,1.0,-0.014756444286588177,0.008080808080808105,0.13957373737373735,-0.004199490674096213,43.22295836704278,-0.01155789124640908,42.4670804481579
2018.0,6.0,2018-02-09 14:30:00,46.294517517089844,0.2923076923076923,0.3761538461538461,0,0,1.0,-0.03998839225500728,0.04786324786324786,-0.1922017094017094,0.015242848252170513,43.88684627962408,0.008139523736501309,42.81415284330474
2018.0,7.0,2018-02-16 14:30:00,49.895957946777344,0.225,0.285725,0,0,1.0,0.07491645448292417,-0.06730769230769232,-0.09042884615384611,0.004146448577124555,44.069198626984544,-0.0009704342670465967,42.77262467570854
2018.0,8.0,2018-02-23 14:30:00,48.75149917602539,0.2,0.13385625,0,0,1.0,-0.02320404710621382,-0.024999999999999994,-0.15186875,0.010490186228583453,44.53392600419485,0.0034527172914061606,42.92056170192317
2018.0,9.0,2018-03-02 14:30:00,47.44297790527344,0.37142857142857144,0.25594285714285714,0,0,1.0,-0.027207424546762393,0.17142857142857143,0.12208660714285713,-0.0016870980966884035,44.45885624522477,-0.005032045184385868,42.70512599180939
2018.0,10.0,2018-03-09 14:30:00,49.539817810058594,0.29411764705882354,0.3700764705882353,0,0,1.0,0.043248221668422016,-0.0773109243697479,0.11413361344537815,-0.005755691480700953,44.203699790410234,-0.010833437110363078,42.2449796785113
2018.0,11.0,2018-03-16 13:30:00,50.0200080871582,0.2888888888888889,0.4326777777777778,0,0,1.0,0.00964634070655368,-0.005228758169934622,0.06260130718954249,-0.003210229237217819,44.06202330961171,-0.009722037182042134,41.83626241678659
2018.0,12.0,2018-03-23 13:30:00,49.49579620361328,0.3058823529411765,0.37793529411764704,0,0,1.0,-0.010535346339184848,0.016993464052287577,-0.054742483660130736,0.0028935086373321883,44.18970178494081,-0.0032970677171493597,41.698552570659686
2018.0,13.0,2018-03-29 13:30:00,49.159664154052734,0.3125,0.35840625,0,0,1.0,-0.006814287805629871,0.006617647058823506,-0.019529044117647054,-0.0003038193706031533,44.17627813684278,-0.006318159369766282,41.435925005091676
2018.0,14.0,2018-04-06 13:30:00,48.92356872558594,0.3285714285714286,0.38869642857142855,0,0,2.0,-0.004814194588070642,0.016071428571428625,0.030290178571428572,-0.0023510645946350052,44.072538850059566,-0.010486823395122082,41.00366425982495
2018.0,15.0,2018-04-13 13:30:00,48.56742858886719,0.32,0.3847333333333333,0,0,2.0,-0.007306145813479326,-0.008571428571428619,-0.003963095238095238,-0.001950131079683046,43.98667537201774,-0.009917329260333393,40.599027196422256
2018.0,16.0,2018-04-20 13:30:00,45.84233856201172,0.2625,0.365621875,0,0,2.0,-0.05774502572567064,-0.057499999999999996,-0.01911145833333333,-0.0018068966824499467,43.90726775649922,-0.008577091996146442,40.25229470908104
2018.0,17.0,2018-04-27 13:30:00,44.053619384765625,0.3692307692307692,0.5059538461538462,0,0,2.0,-0.039800572474189,0.10673076923076918,0.1403319711538462,-0.002862324696155832,43.78177059215763,-0.010152071813222903,39.845717813435016
2018.0,18.0,2018-05-04 13:30:00,45.298118591308594,0.21666666666666667,0.4235666666666667,0,0,2.0,0.027857985044081435,-0.15256410256410252,-0.0823871794871795,0.0014079658469351303,43.8434572460302,-0.003438635901693153,39.70893820005356
2018.0,19.0,2018-05-11 13:30:00,44.61784744262695,0.3466666666666667,0.41024,0,0,2.0,-0.015131553570157497,0.13,-0.013326666666666709,0.0008455061539364168,43.88054283477901,-0.004440616345191306,39.53299697289317
2018.0,20.0,2018-05-18 13:30:00,44.78591537475586,0.2545454545454546,0.3492090909090909,0,0,2.0,0.003759755178376345,-0.0921212121212121,-0.06103090909090908,0.0010016901520839587,43.924519564256,-0.005292203142459542,39.324332955278656
2018.0,21.0,2018-05-25 13:30:00,48.299320220947266,0.4,0.35633499999999996,0,0,2.0,0.07552378542498683,0.14545454545454545,0.007125909090909044,-0.00021285945458240267,43.915170809999424,-0.005062232258560561,39.125767065812134
2018.0,22.0,2018-06-01 13:30:00,47.302921295166016,0.24761904761904763,0.34605714285714284,0,0,2.0,-0.020845431871092224,-0.1523809523809524,-0.010277857142857116,-0.004844469897354094,43.70293957595462,-0.008839526796152727,38.7814378949546
2018.0,23.0,2018-06-08 13:30:00,46.814727783203125,0.30370370370370375,0.374437037037037,0,0,2.0,-0.010374204948503163,0.056084656084656126,0.028379894179894172,-0.0017734046352804729,43.625505261815064,-0.008953418911666114,38.43576123866404
